组织名称,
统一社会信用代码,旅顺福兴铸造厂912102126048927750
行政处罚决定文书号,大税二稽罚【2022】37号
法人代表人,王贤庆
违法行为类型,发票违法
违法事实,"（一）发票流：旅顺福兴铸造厂铸造业务需要基础铁，在小商贩手里收购，无法取得增值税专用发票，2017年该厂法定代表人通过屈乐民认识了大连亮盈贸易有限公司的会计刘颖，对方表示可以给旅顺福兴铸造厂开具增值税专用发票，从2017年8月开始至2018年4月，大连亮盈贸易有限公司为旅顺福兴铸造厂开具发票12份，发票金额816153.85元，发票代码为2102181130，发票号码为0316629966300：发票代码为2102164130，发票号码为01200687-01200688，0120070300704：发票代码为2102162130，发票号码为00537556、0055564400555645 : 票代码为2102173130，发票号码为02364324-02364325：发票代码为2102162130，发票号码为00537555，品名为废铁、废钢。（二）货物流：企业法定代表人陈述本业务是在小商贩手中收购基础铁，无法取得发票故而让大连亮盈贸易有限公司向自己虚开发票。在取证过程中，旅顺福兴铸造厂无法提供任何能够证明确实购买基础铁的证据，旅顺福兴铸造厂与大连亮盈贸易有限公司双方没有实际货物交易）资金流：大连亮盈贸易有限公司给旅顺福兴铸造厂开具发票后，该厂基本账户（大连农村商业银行股份有限公司旅顺铁山支行: 2084201114743）电汇到大连亮盈贸易有限公司的企业账户，扣除8个点之后再由刘颖的个人账户返还到王贤庆（旅顺福兴法定代表人）的个人农行卡里（622848056018118251017.9.6，刘颖（124440元）王贤庆，回流比例92%，扣除8个点.2017.9.1庆，回流比例92%，扣除8个点。3.2017.10.20，旅顺福兴（165000元--亮盈--王贤庆，回流比例92%，扣除8个点。97元）-王贤庆，回流比例92%，扣除8个点。5.2017.12.18，旅顺福兴（1426，2017.12.19，刘颖（129766元）--王贤庆，回流比例91%，贤庆账户未发现回流，企业表示时间久远，难以记清。综上 ，旅顺福兴铸造厂与大连亮盈贸易有限公司之间不存在真实货物交易，从大连亮盈贸易有限公司取得增值税专用发票的行为是为了少缴税款、抵扣税款。造成2017年多抵扣增值税进项税额105399.99元，造成2017年多计主营业务成本620000.01元。造成2018年多抵扣增值税进项税额33346.16元，造成2018年多计主营业务成本196153.84取得以下证据材料证据1：《询问（调查）笔录第一次（王贤庆）》付被询问人王贤庆居民身份证复印件：证据2：营业执照复印件（旅顺福兴证据3：旅顺福兴铸造厂取得大连亮盈贸易有限公司开具的12张增值税专用发票，发票代码为2102181130，发票号码为03166299-03166300发票代码为2102164130，发票号码为01200687-01200688，01200703-01200704发票代码为210162130，发票号码为00537556、00555644-00555645；发票代为2102173130，发票号码为02364324-02364325；发票代码为2102162130，发号码为0053755证据4：旅顺福兴铸造厂记账凭证及付款原始凭证（2017年8月7#、2017年9月32#、2017年10月35#、2017年11月15#、2017年12月39#年4月64#凭证）：证据5：应交税金明细账（2017年8月-2017年12月、2018年4月）证据6：生产成本明细账（2017年8月-2017年12月、2018年4月）：据7：银行存款明细账（2017年8月-2017年12月、2018年4月）：证据8：发票：发票抵扣联发票代码为2102181130，发票号码为03166299-03166300：发票代码为2102164130，发票号码为01200687-01200688，01200703-01200704：发票代码为210216213码为02364324-02364325：发票代码为2102162130，发票号码为00537555。据10：发票抵扣明细（2017年8月-2017年12月、2018年4月）：证据11：个人所得税生产经营所得纳税申报表（2017年-2018年）证据12：增值税申报表（2017.8-2018.4 )证据13：旅顺福兴铸造厂大连农村商业银行基本账户交易流水（2084201114743,2017年7月-2017年12月、2018年4月），王贤庆农业银行账户交易流水（6228480560181182513,2017年7月-2017年12月、2018年4月）据14：《已证实虚开通知单》；证据15：《委托协查凭证清单》：证据16：《委托协查凭证货物清单》"
处罚依据,国税收征收管理法》第六十三条第一款，《东北区域税务行政处罚裁量基准》第17条第一项
处罚类别,罚款
处罚内容,
罚款金额（万元）,罚款7.422922
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,
处罚有效期,2022-11-282022-12-14
公示截止期,2023-11-28
处罚机关,国家税务总局大连市税务局第二稽查局
