组织名称,大连四达食品有限公司
统一社会信用代码,912102827443691345
行政处罚决定文书号,2021230109
法人代表人,魏立夫
违法行为类型,《中华人民共和国水污梁防治法》第十条：排放水污梁物，不得超过国家或者地方规定的水污染物排放标准和重点水污染物排放总量控制指标
违法事实,2021年9月8日，你（单位为排污许可证简化管理类，总排口排水中总磷浓度064mg/l，超过（辽宁省污水综合排放标准》（DB21/1627-2008)中规定总磷浓度05 mg/L的标准，超标0.28倍总氮浓度16.7mg/l，超过《辽宁省污水综合排放标准》（DB21/1627-2008)中规定总氯浓度15mg/L的标准，超标0.11倍。
处罚依据,《中华人民共和国水污梁防治法》第八十三条第二项：“违反本法规定，有下列行为之一的，由县级以上人民政府环境保护主管部阶责令改止或者责令限制生产停产整治，并处十方元以上一百万元以下的罚款情节严重的，报经有批准权的人民政府批准，责令停业、关团：二超过水污物排放标准或者超过重点水污染物排放总量控制指标排放水污染物：”、《中华人民共和国环境保护法》第六十条：“企业事业单位和基他生产经营者超过污染物排放标准或者超过重点污物排放总量控制指材排放污物的，县级以上人民政府环境保护主管部阶可以责令其采取限制生产、停产整治等措施：情节严重的，报经有批准权的人民政府批准，责令停业、关闭。“及《环境保护主管部队门实施限制生产、停产整治力法》第五条：“排污者超过污物排放标准或者超过重点污物日最高充许排放总量控制指标的，环境保护主管部门可以责令其采取限制生产措施。“的规定，根据我局出具的《行政处罚裁量权基准违反水污染防治规定类第5条超标1倍以下的简化管理类（持证：处20万元罚款
处罚类别,责令停产停业
处罚内容,罚款人民币贰搭方元整
罚款金额（万元）,20--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2021-10-18
处罚有效期,2099-12-31
公示截止期,2024-10-18
处罚机关,大连市生态环境局
