组织名称,大连四达食品有限公司
统一社会信用代码,912102827443691345
行政处罚决定文书号,2021230112
法人代表人,魏立夫
违法行为类型,业事业单和基他生产经营者应当按照国家有关数定和监测数范，对所排防放的水污物自行监测，并保存原始监测记录。重点排污单还应当安装水污物排放自动监测设备，与环境保护主管部阶的监控设备联网，并保证监测设备正常运行。具体力法由国务院环境保护主管部门规定。”
违法事实,2021年8月30日，你（单位1水污染源自动监控设施总磷分析仪中的总磷试剂c标签显示配制时间为2021年4月6日，有效期为50天，已超过使用期限未更换。
处罚依据,行为之一的，由县级以上人民政府环境保护主管部队门责令限期故正，处二万元以上二十万元以下的罚款逾期不改止的，责令停产整治：（二未按照规定安装水污物排放自动监测设备，未接定与环境保护主管部阶的监控设备联网，或者未保证监测设备正常运行的：
处罚类别,罚款
处罚内容,罚款人民币贰万元整（?20000）
罚款金额（万元）,2--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2021-10-18
处罚有效期,2099-12-31
公示截止期,2024-10-18
处罚机关,大连市生态环境局
