组织名称,大连喜乐房地产开友有限公司
统一社会信用代码,91210202MA109A6B3A
行政处罚决定文书号,普人社监罚决字【2023】003号
法人代表人,张瑾
违法行为类型,《劳动保障监察条例》第六条
违法事实,经查，该单位是梧桐小镇项目的建设单位，因梧桐小镇项目存在未力理施工许可证擅自开工建设的违反工程建设法律法规问题，导致施工总承包单位齐齐哈尔厂兴市政工程有限公司拖欠20人2022年7月至2022年10月工资236560元：导致分包单位大连日贺建筑劳务有限公司拖欠102人2022年7月至2022年8月工资1219662元共计拖欠122人工资1456222元：该单位未依法承担清偿农民工工资责任。针对上述违法行为，依据《中华人民共和国劳动法》第及十五条的规定，我局于2022改指令书”（普人社监令字[2208220071号】，该单位在规定的时间内未按要求进行改正。
处罚依据,《劳动保障监察条例》第三十条第一款第（三）项《大连市人力资源和社会保障行政处罚裁量标准》第了7条
处罚类别,罚款
处罚内容,罚款2万元
罚款金额（万元）,2
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-01-16
处罚有效期,2099-12-31
公示截止期,2024-01-16
处罚机关,大连市普兰店区人力资源和社会保障局
