组织名称,大连聚德帆船俱乐部有限公司
统一社会信用代码,91210202MA102UQK04
行政处罚决定文书号,辽大水罚决字[2021] 006号
法人代表人,候显彬
违法行为类型,无水路运输许可证》、《船舶营业运输证》，非法从事营业性水上旅游运输的行为违反了《辽宁省水路运输管理规定》（辽宁省人民政府令2017年第314号的规定
违法事实,2021年7月20日，我处执法人员对石槽村附近水域进行日常检查，发现大连聚德帆船俱乐部有限公司未理水路运输许可证》和《船舶营业运输证》，涉嫌从事水上营业性旅游运输活动。
处罚依据,依据《辽宁省水路运输管理规定》第二十五条：小型睿船运输经营者违反本规定，有下列情形之一的，由水路运输管理部门责令停止经营，没收违法所得，并处2000元以上1万元以下罚款：（一）未经批准，擅自从事睿运业务的：（三）使用未取得船舶营运证件的船舶从事客运业务的规定
处罚类别,没收违法所得，罚款
处罚内容,没收违法所得800元：处5000元罚款的行政处罚
罚款金额（万元）,0.50.08
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2021-10-26
处罚有效期,2023-10-26
公示截止期,2024-10-26
处罚机关,大连市水路运输管理处
