组织名称,大连文广传媒集团有限责任公司
统一社会信用代码,91210213723485072A
行政处罚决定文书号,大金普市监网处【2022】09号
法人代表人,张仁峰
违法行为类型,大连文广传媒集团有限责任公司发布违法药品广告案
违法事实,"1.经查，当事人自2022年8月1日至8月31日在金普新区电台FM98.4频率播放金州故事广播栏目""生命与科学：707复合酶”，具体时段为每天11:00-11:50,15:00-15:50。该栏目内容含有""2'08”主持人：听众朋友们大家好，欢迎您每天准时收听大型健康专题讲座，生命与科学’；3'03”主持人：‘下面就让我们有请出大家的老朋友吴威吴院长’；14°43”吴院长：‘而我研发的707复合酶就含有这种特殊的脑蛋白酶。中风、脑萎缩，包括轻度痴呆症的患者用上之后。脑神经的各项生理功能得以保障’；18'59""主持人：‘在国家药监局注册名为707牌五仙膏，国药准字Z32020761，由707天然制药荣誉出品""等内容。该栏目提到的707复合酶的产品名称叫707牌五仙膏，是非处方药，当事人在调查中虽提交了一份2021年2月5日通过的《广告审查准予许可决定书》，但审查通过的广告样件内容与该药品广告不一致。栏目中的吴威是一名医生。当事人与辽宁纯济堂医药连锁有限公司签有专题广告发布合同，约定每月广告费用200元。当事人已于8月26日将该栏目停播。2.经查，当事人自2022年8月1日至8月31日在金，：，6时段为每天5:00-5:50。该栏目内容含有""2’55""主持人：收音机前的听众朋友大家好，您现在正在收听的是大型身心健康节目新知力寿百年’；9'33""刘老师：‘我们作为医务工作者，我们为患者治好疾病，让患者获得幸福，这是我壮脾润五庄的作用，它可以把我们体内淤积的药毒、风湿之毒血瘀全给你排出去；34’刘老师：因为能量丹我们在用于它治疗的时候，它会迅速的被我们机体受损的细胞吸收""等内容。该栏目提到的能量丹的产品名称叫灵芝北芪片是非处方药，提到的金斛药酒的产品名称叫金斛酒，也是非处方药。当事人在调查中虽提交了一份2021年2月5日通过的灵芝北芪片的《广告审查准予许可决定书》，但审查通过的广告样件内容与该药品广告不一致，金斛酒未取得广告审查。栏目中的刘晓婷是一名医生。当事人与黑龙江鼎恒升药业有限公司销售代表签有专题广告发布合同，约定每月广告费用200元。当事人已于8月28日将该栏目停播。3.经查，当事人自2022年9月1日至2022年9月30日在金普新区电台FM98.4频率播放金州故事广播栏目“华夏医魂：五灵参蛤至金肽”，具体时段为每天500-5:50。该栏目内容含有""46""主持人：‘立足本草，追本溯源，收音机前的听众朋友，大家好，这里是大型身心健康栏目华夏医魂。本栏目特另邀请到的是中西医著名学者魏海英老师’；1'07""主持人：‘由魏老师带头研发的治疗性药品五灵参蛤至金肽是一款集羚羊角、蛤虾、地龙、海马、鹿茸、冬虫夏草、人参、三七等12位名贵药材为一体的国药准字OTC治疗型药品""等内容。该栏目提到的五灵参蛤至金肽的产品名称叫参蛤胶囊，是非处方药，当事人在调查中虽提交了一份2021年11月26日通过的《广告审查准予许可决定书》：但审查通过的广告样件内容与该药品广告不一致。栏目中的魏海茵是一名医生。当事人与药品生产企业销售代表签有专题广告发布合同，约定每月广告费用200元。当事人已于9月19日将该栏目停播。4.经查，当事人自2022年9月1日至2022年9月30日在服液”，具体时段为每天7:00-7:50。该栏目内容含有""1'58主持人：‘这里是全国正在热播的健康答疑服务类公益栏目，名医在身边，我是大家熟悉的栏目编导婷婷”；2'33张主任：‘婷婷太客气了。其实咱们做医生的，能帮大家收获健康，这是我们的快乐’；22'09张主任：‘为了验证抗衰老口服液对于脑出血偏瘫患者的疗效，我们是要进行临床试验的""等内容。该栏目提到的青春宝抗衰老口服液的产品名称叫抗衰老口服液，是非处方药。栏目中的张主任叫张雅玲是一名医生。当事人与辽宁纯济堂医药连锁有限公司签有专题广告发布合同约定每月广告费用200元。当事人已于9月19日将该栏目停播。5. 经查,当事人自2022年9月1日至2022年9月30日在金普新区电台FM98.4频率播放金州故事广播栏目""生命与科学：707复合酶”，具体时段为每天15:00-15:50。该栏目内容含有""2'07主持人：‘传统治疗30年，不如生物新药80天。听众朋友们，大家好，欢迎您每天准时收听大型健康专题讲座生命与科学’；3'07主持人：‘好下面就让我们有请出大家的老朋友吴威吴院长’；19’25主持人：在国家药监局注册名为707牌5仙膏，国药准字Z32020761，由707天然制药荣誉出品等内容。该栏目提到的707复合酶的产品名称叫707牌五仙膏，是非处方药，当事人在调查中虽提交了一份2021年2月5日通过的《广告审查准予许可决定书》，但审查通过的广告样件内容与该药品广告不一致。栏目中的吴威是一名医生。当事人与辽宁纯济堂医药连锁有限公司签有专题广告发布合同，约定每月广告费用200元。当事人已于9月19日将该栏目停播。"
处罚依据,依据《中华人民共和国广告法》第十九条、《药品、医疗器械、保健食品、特殊医学用途配方食品广告审查管理暂行力法》第十一、二十条之规定。
处罚类别,罚款
处罚内容,责令当事人停止发布上述5条广告，分别没收广告费用200元、共1000元，分别罚款200元、共1000元，罚没款总计2000元。
罚款金额（万元）,0.2
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-12-06
处罚有效期,2099-12-31
公示截止期,2023-12-06
处罚机关,大连金普新区市场监督管理局
