组织名称,大连吉洋食品有限公司
统一社会信用代码,91210212MA0YW36Q1Q
行政处罚决定文书号,旅市监处罚【2022】98号
法人代表人,孔繁东
违法行为类型,违反了《中华人民共和国食品安全法》第三十四条第一款第（二）项禁止生产经营下列食品、食品添加剂、食品相关产品：（二）致病性微生物，农药残留兽药残留、生物毒素、重金属等污染物质以及其他危害人体健康的物质含量超过食品安全标准限量的食品、食品添加剂、食品相关产品“的规定。
违法事实,"经查，2022年11月9日，我局收到云南省昆明市市场监督管理局的食品安全抽检检验报告：检测单位为云南孚尔质量检验检测有限公司，报告编号：SP202231273，该检测公可在昆明市官渡区王靖食品经营店购实的”藻之恋”十燥裙带菜，生产日期为2022年6月3日，该检测公司于2022年10月11日抽取样品，2022年11月8日经检验，检验项目铅（以pb计)，标准指标≤1.0mg/kg（干重计），实测值154mg/kg，不符合GB2762-2017《食品安全国家标准食品中污染物限量》要求。当事人承认昆明市官渡区土靖食品经营店所销售的藻芝恋”十燥裙带菜察本公司生产的产品。因2022年6月30日国家出台新的检验标准GB2762-2022，当事人在7个工作日内对其检验报告提出复检要求，但新检测标准实施日期为2023年6月30日，因此复检结果未通过。当事人承认，生产日期为2022年6月3日的""藻芝恋干燥裙带菜，投产原料130公斤，生产了150包：每包100g，销售价格是5.5元/包明市官渡区王靖食品经营店，该批干燥裙带菜货值金额825元，违法所得150元。大连吉洋食品有限公司建立了生产记录和销售记录。该公司在接到不合格检验报告后，立即启动召回程序，通知供应商在生产经营场所张贴召回公告，由于销售时间较长，没有召回问题食品。当事人的上述行为，构成生产销售“铅""含量超过食品安全标准限量的食品违法行为。"
处罚依据,依据《中华人民共和国行政处罚法》第二十八条第一款：“行政机关实施行政处罚时，应当责令当事人改正或者限期改正违法行为。“的规定，和《中华人民共和国食品安全法》第一百二十四条第一款第（一）项“违反本法规定，有下列情形之一，尚不构成犯罪的，由县级以上人民政府食品药品监督管理部门没收违法所得和违法生产经营的食品、食品添加剂，并可以没收用于违法生产经营的工具1设备、原料等物品：违法生产经营的食品、食品添加剂货值金额不足一万元的，并处五万元以上十万元以下罚款：货值金额一万元以上的，并处货值金额十倍以上二十倍以下罚款：情节严重的，吊销许可证：（一）生产经营致病性微生物，农药残留、兽药残留、生物毒素、重金属等污染物质以及其他危害人体健康的物质含量超过食品安全标准限量的食品、食品添加剂。”
处罚类别,"没收违法所得,罚款"
处罚内容,一、罚款人民币10000元，没收违法所得150元，罚没款金额合计10150元，上缴国库。
罚款金额（万元）,10.015
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2023-01-09
处罚有效期,2024-01-09
公示截止期,2026-01-09
处罚机关,大连市旅顺口区市场监督管理局
