组织名称,东北金城建设股份有限公司
统一社会信用代码,91210100117606495
行政处罚决定文书号,普人社监罚决字【2022】006号
法人代表人,付明刚
违法行为类型,责令改正拒不改正
违法事实,2021年1月29日，该单位申请启用大连丰润凯旋城B区（1号楼-3号楼、10号楼-13号楼、21号楼、23号楼部分）施工项自农民工工资保证金1440000.00元用于支付农民工工资。该单位便用工资保证金发放农民工工资后，未按照规定进行补足针对上述违法行为，依据《中华人民共和国劳动法》第及十五条的规定，我局于2021年8月10日下达了（大连市普兰店区人力资源和社会保障局劳动保障监察限期整改指令书》（普人社监令字[2108120061号，该单位在规定的时间内未接要求进行改正。
处罚依据,根据《劳动保障监察条例》第三十条第一款第三项之规定，经劳动保障行政部队门责令改正拒不改正，或者拒不履行劳动保障行政部队门的行政处理决定的，处200元以上2万元以下的罚款根据《大连市人力资源和社会保障行政处罚裁量标准》第/条的规定，拒不改正或拒不履行行政处埋决定的，处10000元以上20000元以内罚款。
处罚类别,罚款
处罚内容,罚款人民币10000元
罚款金额（万元）,1--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2022-07-21
处罚有效期,2099-12-31
公示截止期,2023-07-21
处罚机关,大连市普兰店区人力资源和社会保障局
